2016,Ditty,/poetsorg/poem/ditty-0,Kevin Young,Love
2016,Poem to First Love,/poetsorg/poem/poem-first-love,Matthew Yeager,Love
2013,[ a subway ride ],/poetsorg/poem/subway-ride,Joseph O. Legaspi,Love
2014,V-Neck T-Shirt Sonnet,/poetsorg/poem/v-neck-t-shirt-sonnet,Joseph O. Legaspi,Love
1855,To a Stranger,/poetsorg/poem/to-a-stranger,Walt Whitman,Love
1609,"Like as, to make our appetite more keen (Sonnet 118)",/poetsorg/poem/make-our-appetite-more-keen-sonnet-118,William Shakespeare,Love
1604,"Othello, Act III, Scene III [O, beware, my lord, of jealousy]",/poetsorg/poem/othello-act-iii-scene-iii-o-beware-my-lord-jealousy,William Shakespeare,Love
2015,Where You Live,/poetsorg/poem/where-you-live,Jonathan Wells,Love
2014,Dark-sky Society,/poetsorg/poem/dark-sky-society,Ailish Hopper,Love
1609,When my love swears that she is made of truth (Sonnet 138),/poetsorg/poem/when-my-love-swears-she-made-truth-sonnet-138,William Shakespeare,Love
1609,"O thou, my lovely boy, who in thy power (Sonnet 126)",/poetsorg/poem/o-thou-my-lovely-boy-who-thy-power-sonnet-126,William Shakespeare,Love
1918,North Wind,/poetsorg/poem/north-wind,Lola Ridge,Love
2015,"For love,",/poetsorg/poem/love-5,Jean Valentine,Love
2009,from Bharat jiva [the day shifts...],/poetsorg/poem/bharat-jiva-day-shifts,kari edwards,Love
2016,The Heart Is a Foreign Country ,/poetsorg/poem/heart-foreign-country,Rangi McNeil,Love
2016,Accidental Blues Voice,/poetsorg/poem/accidental-blues-voice,Anna Journey,Love
2016,Brewerytown,/poetsorg/poem/brewerytown,Iain Haley Pollock,Love
2016,Of Shock ,/poetsorg/poem/shock,Nicole Cooley,Love
1917,The Awakening ,/poetsorg/poem/awakening,James Weldon Johnson,Love
1855,Love in a Life ,/poetsorg/poem/love-life-0,Robert Browning,Love
1881,At Last,/poetsorg/poem/last-1,Christina Rossetti,Love
1844,Love,/poetsorg/poem/love-4,James Russell Lowell,Love
2015,Little Box,/poetsorg/poem/little-box,Marilyn Nelson,Love
2015,Miracle in the Collection Plate,/poetsorg/poem/miracle-collection-plate,Marilyn Nelson,Love
2015,Summer,/poetsorg/poem/summer-3,Robin Coste Lewis,Love
2013,Largo,/poetsorg/poem/largo,Brian Teare,Love
2013,Atlas Peak (audio only),/poetsorg/poem/atlas-peak-audio-only,Brian Teare,Love
1918, My Light with Yours,/poetsorg/poem/my-light-yours,Edgar Lee Masters,Love
1878,Holidays,/poetsorg/poem/holidays,Henry Wadsworth Longfellow,Love
1915,This Much and More,/poetsorg/poem/much-and-more,Djuna Barnes,Love
2014,King County Metro,/poetsorg/poem/king-county-metro,Geffrey Davis,Love
2015,I Am Alive in Los Angeles!,/poetsorg/poem/i-am-alive-los-angeles,Mike Sonksen,Love
2015,Love’s Body,/poetsorg/poem/love%E2%80%99s-body,Jonathan Wells,Love
2015,Birthday,/poetsorg/poem/birthday-1,Richie Hofmann,Love
2014,In the dark we crush,/poetsorg/poem/dark-we-crush,Julia Cohen,Love
2014,Everything That Happens Can Be Called Aging,/poetsorg/poem/everything-happens-can-be-called-aging,Carl Adamshick,Love
1909,Love,/poetsorg/poem/love-3,William Carlos Williams,Love
2014,"from ""The Princess""",/poetsorg/poem/princess,Alfred Lord Tennyson,Love
2015,October Song,/poetsorg/poem/october-song,Marilyn Chin,Love
2014,All Us Beautiful Monsters,/poetsorg/poem/all-us-beautiful-monsters,Alex Lemon,Love
2014,Song Out Here,/poetsorg/poem/song-out-here,Juan Felipe Herrera,Love
1917,If You Should Tire of Loving Me,/poetsorg/poem/if-you-should-tire-loving-me,Margaret Widdemer,Love
2014,Bound,/poetsorg/poem/bound,Aline Murray Kilmer,Love
2014,Compensation,/poetsorg/poem/compensation-0,Paul Laurence Dunbar,Love
2014,The Wall Hanging I Never Noticed,/poetsorg/poem/wall-hanging-i-never-noticed,Dorothea Lasky,Love
2014,Verge,/poetsorg/poem/verge,Mark Doty,Love
2014,Making It Up as You Go Along,/poetsorg/poem/making-it-you-go-along,Bin Ramke,Love
2014,Daytime Begins with a Line by Anna Akhmatova,/poetsorg/poem/daytime-begins-line-anna-akhmatova,Yusef Komunyakaa,Love
2014,How to Love,/poetsorg/poem/how-love,January Gill O'Neil,Love
2014,Life’s Ironies,/poetsorg/poem/life%E2%80%99s-ironies,Jane Miller,Love
1922,From the Telephone,/poetsorg/poem/telephone,Florence Ripley Mastin,Love
2014,Etta's Elegy,/poetsorg/poem/ettas-elegy,Maureen Seaton,Love
2014,Auld Lang Syne,/poetsorg/poem/auld-lang-syne-0,Jennifer L. Knox,Love
2014,The Long Hand Wishes It Was Used,/poetsorg/poem/long-hand-wishes-it-was-used,Jackie Clark,Love
2013,poem I wrote sitting across the table from you,/poetsorg/poem/poem-i-wrote-sitting-across-table-you,Kevin Varrone,Love
2013,What Is True,/poetsorg/poem/what-true,Ben Kopel,Love
2013,Whom You Love,/poetsorg/poem/whom-you-love,Joseph O. Legaspi,Love
2013,"Ode, Aubade",/poetsorg/poem/ode-aubade,Greg Wrenn,Love
2013,Wedding Night: We Share an Heirloom Tomato on Our Hotel Balcony Overlooking the Ocean in Which Natalie Wood Drowned,/poetsorg/poem/wedding-night-we-share-heirloom-tomato-our-hotel-balcony-overlooking-ocean-which,Anna Journey,Love
2013,an endnote and love song:,/poetsorg/poem/endnote-and-love-song,Erín Moure,Love
2013,My Lady Is Compared to a Young Tree,/poetsorg/poem/my-lady-compared-young-tree,Vachel Lindsay,Love
